연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2005,카이로 국제영화제,일반(종합),"제니, 주노",김호준,,,
2005,카이로 국제영화제,일반(종합),댄서의 순정,박영훈,,,
2005,케이프타운 세계 영화제,일반(종합),올드보이,박찬욱,A Disparate World,,
2005,케이프타운 세계 영화제,일반(종합),사마리아,김기덕,A Disparate World,,
2005,케이프타운 세계 영화제,일반(종합),빈집,김기덕,A Disparate World,,
2005,리옹 아시아 영화제,일반(종합),남극일기,임필성,.,,
2005,리옹 아시아 영화제,일반(종합),인어 공주,박흥식,.,,
2005,리옹 아시아 영화제,일반(종합),여섯 개의 시선,"박진표,박찬욱,여균동,임순례,정재은",.,,
2005,리옹 아시아 영화제,일반(종합),말아톤,정윤철,경쟁,,
2005,리옹 아시아 영화제,일반(종합),친절한 금자씨,박찬욱,.,,
2005,리옹 아시아 영화제,일반(종합),반칙왕,김지운,.,,
2005,리옹 아시아 영화제,일반(종합),동백꽃,"소준문,이송희일,최진성",뉴 아시안 시네마-경쟁부문,Press Award for Best Film 3등상,
2005,리옹 아시아 영화제,일반(종합),내츄럴시티,민병천,.,,
2005,리옹 아시아 영화제,일반(종합),활,김기덕,.,,
2005,리옹 아시아 영화제,일반(종합),봄 여름 가을 겨울 그리고 봄,김기덕,.,,
2005,리즈 국제영화제,일반(종합),활,김기덕,공식 초청,,
2005,리즈 국제영화제,일반(종합),달콤한 인생,김지운,파노메논,,
2005,디렉터스 컷 어워즈,일반(종합),너는 내 운명,박진표,,올해의 여자배우상,전도연
2005,디렉터스 컷 어워즈,일반(종합),친절한 금자씨,박찬욱,,올해의 여자배우상,이영애
2005,디렉터스 컷 어워즈,일반(종합),태풍태양,정재은,,올해의 새로운 여자배우상,조이진
2005,디렉터스 컷 어워즈,일반(종합),말아톤,정윤철,,올해의 신인 감독상,정윤철
2005,디렉터스 컷 어워즈,일반(종합),웰컴 투 동막골,박광현,,올해의 남자배우상,정재영
2005,디렉터스 컷 어워즈,일반(종합),그때 그 사람들,임상수,,올해의 감독상,임상수
2005,디렉터스 컷 어워즈,일반(종합),용서받지 못한 자,윤종빈,,올해의 새로운 남자배우상,하정우
2005,자카르타 국제영화제,일반(종합),봄 여름 가을 겨울 그리고 봄,김기덕,.,,
2005,자카르타 국제영화제,일반(종합),효자동 이발사,임찬상,.,,
2005,자카르타 국제영화제,일반(종합),원더풀 데이즈,김문생,.,,
2005,자카르타 국제영화제,일반(종합),태극기 휘날리며,강제규,.,,
2005,자카르타 국제영화제,일반(종합),올드보이,박찬욱,.,,
2005,두바이 국제영화제,일반(종합),형사 Duelist,이명세,,,
2005,서울독립영화제,독립,바라만본다,양익준,,,
2005,서울독립영화제,독립,미확인 미행물체,백의정,본선경쟁,,
2005,서울독립영화제,독립,원폭 60년 그리고…,김환태,본선경쟁,,
2005,서울독립영화제,독립,자매는 모두 떠났는가?,최숭기,본선경쟁,,
2005,서울독립영화제,독립,마네킹,황선숙,본선경쟁,,
2005,서울독립영화제,독립,슬로브핫의 딸들,문정현,본선경쟁,,
2005,서울독립영화제,독립,내추럴 보이즈,백윤석,본선경쟁,,
2005,서울독립영화제,독립,조선간장,이해원,본선경쟁,,
2005,서울독립영화제,독립,택시 블루스,최하동하,,,
2005,서울독립영화제,독립,괜찮아!,김영재,본선경쟁,,
2005,서울독립영화제,독립,서툰 외면,김용완,본선경쟁,,
2005,서울독립영화제,독립,참신한 그이 모습,유승조,본선경쟁,,
2005,서울독립영화제,독립,허스토리,"이윤미,전승훈,김혜숙,김영진",본선경쟁,,
2005,서울독립영화제,독립,복수의 길,이태겸,본선경쟁,,
2005,서울독립영화제,독립,"크레인, 제4도크",이유림,,,
2005,서울독립영화제,독립,온실,김아론,,,
2005,서울독립영화제,독립,해피 버스데이,홍준원,본선경쟁,,
2005,서울독립영화제,독립,오후,류형기,본선경쟁,,
2005,서울독립영화제,독립,후용리 공연예술단 노뜰,"오영필,박선욱",본선경쟁,,
2005,서울독립영화제,독립,오늘 저녁엔,김상아,본선경쟁,,
2005,서울독립영화제,독립,에로틱 번뇌 보이,최진성,본선경쟁,,
2005,서울독립영화제,독립,플라스틱 로봇,이요섭,본선경쟁,,
2005,서울독립영화제,독립,가리베가스,김선민,본선경쟁,,
2005,서울독립영화제,독립,상어,김동현,역사와 현재,,
2005,서울독립영화제,독립,체임버,유석현,본선경쟁,,
2005,서울독립영화제,독립,풀장 속의 원숭이들,노재승,본선경쟁,,
2005,서울독립영화제,독립,낙원,김종관,,,
2005,서울독립영화제,독립,바보는 피곤해지지 않는다,서해영,본선경쟁,,
2005,서울독립영화제,독립,좋은 배우,신연식,,,
2005,서울독립영화제,독립,아빠가 필요해,장형윤,본선경쟁,,
2005,서울독립영화제,독립,낯선 봄,박성용,,,
2005,서울독립영화제,독립,양성평등,조주상,본선경쟁,,
2005,서울독립영화제,독립,고백,도내리,본선경쟁,,
2005,서울독립영화제,독립,몰랐던 것들,김재식,본선경쟁,,
2005,서울독립영화제,독립,형이상학적 나비효과의 예술적 표현,박기완,본선경쟁,,
2005,서울독립영화제,독립,"안녕, 사요나라","가토 쿠미코,김태일",,,
2005,서울독립영화제,독립,얼굴 없는 것들,김경묵,,,
2005,서울독립영화제,독립,사라짐의 양식,김기훈,본선경쟁,,
2005,서울독립영화제,독립,로스트 앤 파운드,신영재,본선경쟁,,
2005,서울독립영화제,독립,아메리칸 드림,백승훈,본선경쟁,,
2005,서울독립영화제,독립,처용의 다도,"정용주,정용주",본선경쟁,,
2005,서울독립영화제,독립,십우도 2.견적,이지상,,,
2005,서울독립영화제,독립,갑각류를 요리하는 빨간 조리법,임은희,본선경쟁,,
2005,서울독립영화제,독립,외박,이종윤,,,
2005,서울독립영화제,독립,노웨어,신지혜,본선경쟁,,
2005,서울독립영화제,독립,뇌절개술,"김곡,김선",,,
2005,서울독립영화제,독립,공항가는 길,배성근,,,
2005,서울독립영화제,독립,산책,최지영,,,
2005,춘사영화제,일반(종합),너는 내 운명,박진표,,여우주연상,전도연
2005,춘사영화제,일반(종합),달콤한 인생,김지운,,남우주연상,이병헌
2005,춘사영화제,일반(종합),혈의 누,김대승,,편집상,김상범
2005,춘사영화제,일반(종합),혈의 누,김대승,,남우조연상,박용우
2005,춘사영화제,일반(종합),말아톤,정윤철,,신인감독상,정윤철
2005,한국영화평론가협회상,일반(종합),용서받지 못한 자,윤종빈,,신인남우상,하정우
2005,한국영화평론가협회상,일반(종합),너는 내 운명,박진표,,여우주연상,전도연
2005,한국영화평론가협회상,일반(종합),달콤한 인생,김지운,,음악상,달파란
2005,한국영화평론가협회상,일반(종합),오로라 공주,방은진,,신인감독상,방은진
2005,한국영화평론가협회상,일반(종합),사랑니,정지우,,신인여우상,정유미
2005,한국영화평론가협회상,일반(종합),달콤한 인생,김지운,,남우주연상,이병헌
2005,한국영화평론가협회상,일반(종합),혈의 누,김대승,,기술상,신재호
2005,한국영화평론가협회상,일반(종합),혈의 누,김대승,,각본상,이원재
2005,한국영화평론가협회상,일반(종합),형사 Duelist,이명세,,촬영상,황기석
2005,한국영화평론가협회상,일반(종합),형사 Duelist,이명세,,감독상,이명세
2005,한국영화평론가협회상,일반(종합),형사 Duelist,이명세,,최우수 작품상,이명세
2005,탈린 블랙나이츠 영화제,일반(종합),활,김기덕,.,,
2005,필마시아 영화제,일반(종합),달콤한 인생,김지운,Film festival releases,,
2005,필마시아 영화제,일반(종합),올드보이,박찬욱,박찬욱 특별전,,
2005,필마시아 영화제,일반(종합),초록물고기,이창동,한석규 특별전,,
2005,필마시아 영화제,일반(종합),여섯 개의 시선,"박진표,박찬욱,여균동,임순례,정재은",박찬욱 특별전,,
2005,필마시아 영화제,일반(종합),"장화, 홍련",김지운,Focus on Korea,,
2005,필마시아 영화제,일반(종합),복수는 나의 것,박찬욱,박찬욱 특별전,,
2005,필마시아 영화제,일반(종합),동승,주경중,Focus on Korea,,
2005,필마시아 영화제,일반(종합),섬,김기덕,Distribution titles,,
2005,필마시아 영화제,일반(종합),봄 여름 가을 겨울 그리고 봄,김기덕,Distribution titles,,
2005,필마시아 영화제,일반(종합),인형사,정용기,Focus on Korea,,
2005,필마시아 영화제,일반(종합),인어 공주,박흥식,Focus on Korea,,
2005,필마시아 영화제,일반(종합),친절한 금자씨,박찬욱,박찬욱 특별전,,
2005,필마시아 영화제,일반(종합),효자동 이발사,임찬상,Focus on Korea,,
2005,필마시아 영화제,일반(종합),주홍글씨,변혁,한석규 특별전,,
2005,필마시아 영화제,일반(종합),똥개,곽경택,Focus on Korea,,
2005,필마시아 영화제,일반(종합),빈집,김기덕,Distribution titles,,
2005,필마시아 영화제,일반(종합),공공의 적 2,강우석,Focus on Korea,,
2005,필마시아 영화제,일반(종합),살인의 추억,봉준호,Focus on Korea,,
2005,필마시아 영화제,일반(종합),중독,박영훈,Focus on Korea,,
2005,여성영화인축제,일반(종합),너는 내 운명,박진표,,연기상,전도연
2005,여성영화인축제,일반(종합),오로라 공주,방은진,,올해의 여성영화인상,방은진
2005,여성영화인축제,일반(종합),"안녕, 형아",임태형,,제작자상,심보경
2005,여성영화인축제,일반(종합),연애의 목적,한재림,,각본상,고윤희
2005,여성영화인축제,일반(종합),여자와돈에관한이야기,"이안숙,이현정",,다큐멘터리상,이안숙
2005,여성영화인축제,일반(종합),너는 내 운명,박진표,,기술상,김은미
2005,대한민국 영화대상,일반(종합),달콤한 인생,김지운,,남우조연상,황정민
2005,대한민국 영화대상,일반(종합),너는 내 운명,박진표,,남우주연상,황정민
2005,대한민국 영화대상,일반(종합),웰컴 투 동막골,박광현,,최우수작품상,
2005,대한민국 영화대상,일반(종합),웰컴 투 동막골,박광현,,감독상,박광현
2005,인도 국제영화제,일반(종합),비단구두,여균동,Cinema of the World,,
2005,인도 국제영화제,일반(종합),댄서의 순정,박영훈,경쟁,,
2005,대한민국 영화대상,일반(종합),너는 내 운명,박진표,,여우주연상,전도연
2005,청룡영화상,일반(종합),마파도,추창민,,인기스타상,김수미
2005,청룡영화상,일반(종합),혈의 누,김대승,,기술상,신재호
2005,청룡영화상,일반(종합),너는 내 운명,박진표,,남우주연상,황정민
2005,청룡영화상,일반(종합),너는 내 운명,박진표,,감독상,박진표
2005,청룡영화상,일반(종합),달콤한 인생,김지운,,촬영상,김지용
2005,청룡영화상,일반(종합),연애의 목적,한재림,,각본상,고윤희
2005,청룡영화상,일반(종합),연애의 목적,한재림,,각본상,한재림
2005,청룡영화상,일반(종합),말아톤,정윤철,,신인감독상,정윤철
2005,청룡영화상,일반(종합),친절한 금자씨,박찬욱,,여우주연상,이영애
2005,청룡영화상,일반(종합),친절한 금자씨,박찬욱,,최우수 작품상,
2005,청룡영화상,일반(종합),형사 Duelist,이명세,,미술상,조근현
2005,청룡영화상,일반(종합),형사 Duelist,이명세,,미술상,이형주
2005,청룡영화상,일반(종합),형사 Duelist,이명세,,조명상,신경만
2005,청룡영화상,일반(종합),형사 Duelist,이명세,,인기스타상,하지원
2005,청룡영화상,일반(종합),형사 Duelist,이명세,,인기스타상,강동원
2005,청룡영화상,일반(종합),말아톤,정윤철,,음악상,김준성
2005,청룡영화상,일반(종합),말아톤,정윤철,,인기스타상,조승우
2005,청룡영화상,일반(종합),태풍태양,정재은,,신인남우상,천정명
2005,청룡영화상,일반(종합),"여자, 정혜",이윤기,,신인여우상,김지수
2005,청룡영화상,일반(종합),웰컴 투 동막골,박광현,,남우조연상,임하룡
2005,청룡영화상,일반(종합),웰컴 투 동막골,박광현,,여우조연상,강혜정
2005,청룡영화상,일반(종합),웰컴 투 동막골,박광현,,한국영화 최다관객상,
2005,테살로니키 국제영화제,일반(종합),달콤한 인생,김지운,김지운 트리뷰트,,
2005,오슬로 국제영화제,일반(종합),주먹이 운다(Crying Fist),류승완,.,,
2005,스톡홀름 국제영화제,일반(종합),활,김기덕,Asian Images,,
2005,스톡홀름 국제영화제,일반(종합),태풍태양,정재은,Asian Images,,
2005,테살로니키 국제영화제,일반(종합),친절한 금자씨,박찬욱,특별 상영,,
2005,도쿄 필맥스,일반(종합),사과,강이관,Official Competition,,
2005,도쿄 필맥스,일반(종합),마법사들,송일곤,.,,
2005,테살로니키 국제영화제,일반(종합),올드보이,박찬욱,특별 상영,,
2005,테살로니키 국제영화제,일반(종합),복수는 나의 것,박찬욱,특별 상영,,
2005,테살로니키 국제영화제,일반(종합),반칙왕,김지운,김지운 트리뷰트,,
2005,테살로니키 국제영화제,일반(종합),"장화, 홍련",김지운,김지운 트리뷰트,,
2005,테살로니키 국제영화제,일반(종합),조용한 가족,김지운,김지운 트리뷰트,,
2005,테살로니키 국제영화제,일반(종합),신성일의 행방불명,신재인,Independence Days,,
2005,스톡홀름 국제영화제,일반(종합),그때 그 사람들,임상수,Asian Images,,
2005,스톡홀름 국제영화제,일반(종합),주먹이 운다(Crying Fist),류승완,Asian Images,,
2005,스톡홀름 국제영화제,일반(종합),친절한 금자씨,박찬욱,Spotlight- Female Revenge,,
2005,테살로니키 국제영화제,일반(종합),망종,장률,국제 경쟁,,
2005,스톡홀름 국제영화제,일반(종합),달콤한 인생,김지운,Asian Images,,
2005,스톡홀름 국제영화제,일반(종합),"여자, 정혜",이윤기,Spotlight- Female Revenge,,
2005,비엔나 어린이 영화제,청소년,보리울의 여름,이민용,Main Program,,
2005,토리노 영화제,일반(종합),,,.,,
2005,3대륙영화제,,송환,김동원,경쟁부문,,
2005,AFI 영화제,일반(종합),분홍신,김용균,Asian New Classics,,
2005,릴링: 시카고 국제 LGBTQ+ 영화제,일반(종합),동백꽃,"소준문,이송희일,최진성",공식부문,,
2005,모스트라문도 무빙 이미지 페스티발,일반(종합),주먹이 운다(Crying Fist),류승완,.,,
2005,인터필름 - 베를린 국제단편영화제,단편,인사이드,박인철,,,
2005,브뤼셀 독립영화제,독립,썬데이 서울,박성훈,Official Selection - International Competition,,
2005,인터필름 - 베를린 국제단편영화제,단편,빛과 동전,정승희,Special Program,,
2005,자그레브 국제애니메이션영화제-삭제대상,애니,별별 이야기,"권오성,박윤경,박재동,유진희,이성강,이애림,정연주,김준",장편 경쟁,,
2005,독일 아시아 영화제,기타,바람의 파이터,양윤호,.,,
2005,동경국제여성영화제,,발레 교습소,변영주,.,,
2005,시네마닐라 국제영화제,일반(종합),봄 여름 가을 겨울 그리고 봄,김기덕,코리안 포커스,,
2005,시네마닐라 국제영화제,일반(종합),섬,김기덕,코리안 포커스,,
2005,시네마닐라 국제영화제,일반(종합),공동경비구역 JSA,박찬욱,코리안 포커스,,
2005,시네마닐라 국제영화제,일반(종합),그때 그 사람들,임상수,경쟁 부문,최우수작품상,
2005,시네마닐라 국제영화제,일반(종합),태극기 휘날리며,강제규,코리안 포커스,,
2005,시네마닐라 국제영화제,일반(종합),스캔들-조선남녀상열지사,이재용,오프닝 필름/코리안 포커스,,
2005,영화속의음악음악속의영화제,일반(종합),이소룡을 찾아랏!,강론,.,,
2005,겐트 영화제,일반(종합),외출,허진호,월드 시네마,,
2005,시카고 국제영화제,일반(종합),외출,허진호,경쟁,,
2005,시카고 국제영화제,일반(종합),망종,장률,뉴 디렉터스,,
2005,시체스 국제판타스틱영화제,판타지,남극일기,임필성,Orient Express - Casa Asia,,
2005,시체스 국제판타스틱영화제,판타지,달콤한 인생,김지운,Official Fantastic Features,,
2005,시체스 국제판타스틱영화제,판타지,달콤한 인생,김지운,,음악상,달파란
2005,시체스 국제판타스틱영화제,판타지,여고괴담 4 : 목소리,최익환,Official Fantastic Features,,
2005,시체스 국제판타스틱영화제,판타지,친절한 금자씨,박찬욱,Official Fantastic Features,오피셜 판타스틱-여우주연상,이영애
2005,시체스 국제판타스틱영화제,판타지,혈의 누,김대승,Orient Express - Casa Asia,,
2005,부산국제영화제,일반(종합),처용의 다도,"정용주,정용주",Wide Angle,,
2005,부산국제영화제,일반(종합),꼬레엥 2495,하준수,와이드앵글,,
2005,부산국제영화제,일반(종합),운수 좋은 날,이한종,Wide Angle,,
2005,부산국제영화제,일반(종합),주먹이 운다(Crying Fist),류승완,Korean Panorama,,
2005,부산국제영화제,일반(종합),노가다,김미례,,,
2005,부산국제영화제,일반(종합),후용리 공연예술단 노뜰,"오영필,박선욱",Wide Angle,,
2005,부산국제영화제,일반(종합),클라이막스,이민재,,,
2005,부산국제영화제,일반(종합),친절한 금자씨,박찬욱,코리안 파노라마,,
2005,홍콩 아시안 영화제,일반(종합),활,김기덕,Cineaste Delights,,
2005,홍콩 아시안 영화제,일반(종합),친절한 금자씨,박찬욱,Closing Film,최우수작품상,박찬욱
2005,홍콩 아시안 영화제,일반(종합),주먹이 운다(Crying Fist),류승완,Cineaste Delights,,
2005,홍콩 아시안 영화제,일반(종합),애플(Apple),문형모,(),,
2005,홍콩 아시안 영화제,일반(종합),올드보이,박찬욱,Special Presentation,,
2005,홍콩 아시안 영화제,일반(종합),복수는 나의 것,박찬욱,Special Presentation,,
2005,홍콩 아시안 영화제,일반(종합),썬데이 서울,박성훈,New Talent Award,,
2005,취리히 영화제,일반(종합),"여자, 정혜",이윤기,International Feature Film/Competition,,
2005,뉴욕 영화제,일반(종합),극장전,홍상수,메인 프로그램,,
2005,뉴욕 영화제,일반(종합),친절한 금자씨,박찬욱,메인 프로그램,,
2005,뉴욕 영화제,일반(종합),그때 그 사람들,임상수,메인 프로그램,,
2005,부산영화평론가협회상,일반(종합),연애의 목적,한재림,,최우수작품상,한재림
2005,부산영화평론가협회상,일반(종합),연애의 목적,한재림,,여우주연상,강혜정
2005,부산영화평론가협회상,일반(종합),주먹이 운다(Crying Fist),류승완,,여우조연상,나문희
2005,부산영화평론가협회상,일반(종합),연애의 목적,한재림,,각본상,고윤희
2005,부산영화평론가협회상,일반(종합),연애의 목적,한재림,,신인감독상,한재림
2005,부산영화평론가협회상,일반(종합),마파도,추창민,,남우조연상,오달수
2005,부산영화평론가협회상,일반(종합),말아톤,정윤철,,남우주연상,조승우
2005,샌디에고 아시안 영화제,일반(종합),말아톤,정윤철,오프닝 나이트,,
2005,샌디에고 아시안 영화제,일반(종합),주먹이 운다(Crying Fist),류승완,.,,
2005,대구단편영화제,단편,인간적으로 정이 안가는 인간,손원평,본선경쟁작,,
2005,대구단편영화제,단편,서툰 외면,김용완,,우수상,김용완
2005,대구단편영화제,단편,운수 좋은 날,이한종,,대상,이한종
2005,유라시아 국제영화제,일반(종합),댄서의 순정,박영훈,.,,
2005,아시아 태평양 영화제,일반(종합),가족,이정철,,남우주연상,주현
2005,아시아 태평양 영화제,일반(종합),태극기 휘날리며,강제규,.,최우수작품상,강제규
2005,아시아 태평양 영화제,일반(종합),태극기 휘날리며,강제규,,Best Director,강제규
2005,함부르크 영화제,일반(종합),썬데이 서울,박성훈,.,,
2005,베를린 아태영화제,일반(종합),복수는 나의 것,박찬욱,Kaleidoskop,,
2005,베를린 아태영화제,일반(종합),지구를 지켜라,장준환,Kaleidoskop,,
2005,포트타운센트 영화제,,고독이 몸부림칠 때,이수인,Feature Films,,
2005,뉴몬트리올 영화제,,남극일기,임필성,Toyota presente PLANETE TERRE en Collaboration avec TVA,,
2005,애선스 국제영화제,일반(종합),주먹이 운다(Crying Fist),류승완,,,
2005,포커스 온 아시아 - 후쿠오카 국제영화제,일반(종합),피아노 치는 대통령,전만배,한국 및 중국 영화 축제,,
2005,뉴몬트리올 영화제,,"안녕, 형아",임태형,Toyota presente LA COMPETITIN DES IRIS DE MONTREAL en collaboration avec Videotron,,
2005,포커스 온 아시아 - 후쿠오카 국제영화제,일반(종합),색즉시공,윤제균,한국 및 중국 영화 축제,,
2005,포커스 온 아시아 - 후쿠오카 국제영화제,일반(종합),투 가이즈,박헌수,아시안 파노라마,,
2005,포커스 온 아시아 - 후쿠오카 국제영화제,일반(종합),두사부일체,"윤제균,이경원",한국 및 중국 영화 축제,,
2005,포커스 온 아시아 - 후쿠오카 국제영화제,일반(종합),파송송 계란탁,오상훈,아시안 파노라마,,
2005,포커스 온 아시아 - 후쿠오카 국제영화제,일반(종합),마파도,추창민,아시안 파노라마,,
2005,포커스 온 아시아 - 후쿠오카 국제영화제,일반(종합),해안선,김기덕,한국 및 중국 영화 축제,,
2005,오타와 국제애니메이션영화제,애니,왕후 심청,넬슨 신,공식경쟁,,
2005,뉴몬트리올 영화제,,혈의 누,김대승,Toyota presente PLANETE TERRE en collaboration avec TVA,,
2005,포커스 온 아시아 - 후쿠오카 국제영화제,일반(종합),역전에 산다,박용운,한국 및 중국 영화 축제,,
2005,산세바스티안 국제영화제,일반(종합),활,김기덕,Zabaltegi,,
2005,산세바스티안 국제영화제,일반(종합),외출,허진호,공식 부문,,
2005,산세바스티안 국제영화제,일반(종합),사과,강이관,Zabaltegi,신인 작가상,
2005,산세바스티안 국제영화제,일반(종합),빈집,김기덕,FIPRESCI GRAND PRIX,국제비평가협회 선정 올해 최고의 영화,
2005,파이어크래커 쇼케이스,일반(종합),주먹이 운다(Crying Fist),류승완,폐막작,,
2005,파이어크래커 쇼케이스,일반(종합),세이예스,김성홍,.,,
2005,파이어크래커 쇼케이스,일반(종합),서편제,임권택,임권택 특별전,,
2005,파이어크래커 쇼케이스,일반(종합),초록물고기,이창동,.,,
2005,파이어크래커 쇼케이스,일반(종합),달콤한 인생,김지운,.,,
2005,파이어크래커 쇼케이스,일반(종합),청풍명월(淸風明月),김의석,,,
2005,파이어크래커 쇼케이스,일반(종합),피도 눈물도 없이,류승완,.,,
2005,파이어크래커 쇼케이스,일반(종합),사마리아,김기덕,.,,
2005,토론토 국제영화제,일반(종합),그때 그 사람들,임상수,컨템포러리 월드 시네마,,
2005,토론토 국제영화제,일반(종합),친절한 금자씨,박찬욱,스페셜 프리젠테이션,,
2005,토론토 국제영화제,일반(종합),외출,허진호,스페셜 프리젠테이션,,
2005,토론토 국제영화제,일반(종합),형사 Duelist,이명세,비젼,,
2005,토론토 국제영화제,일반(종합),사과,강이관,디스커버리,,
2005,블라디보스톡 아시안퍼시픽 국제영화제,일반(종합),주홍글씨,변혁,.,,
2005,블라디보스톡 아시안퍼시픽 국제영화제,일반(종합),도구,윤용아,Shorter…,,
2005,서울국제환경영화제,일반(종합),나무들이 봤어,노동석,지구의 아이들,,
2005,서울국제환경영화제,일반(종합),화가,최현주,국제 환경영화 경선,,
2005,서울국제환경영화제,일반(종합),핵분열가족,"박재영,박수영",테마전,,
2005,서울국제환경영화제,일반(종합),농가일기,권우정,국제 환경영화 경선,,
2005,서울국제환경영화제,일반(종합),길동무,김태일,국제 환경영화 경선,,
2005,서울국제환경영화제,일반(종합),초롱과 나,노동석,지구의 아이들,,
2005,서울국제환경영화제,일반(종합),아이들은,김태용,국제 환경영화 경선,,
2005,아이치 국제여성영화제,일반(종합),발레 교습소,변영주,,,
2005,베니스 국제영화제,일반(종합),해피 버스데이,홍준원,,,
2005,베니스 국제영화제,일반(종합),친절한 금자씨,박찬욱,경쟁,,
2005,트빌리시 국제영화제,일반(종합),올드보이,박찬욱,Horizons,,
2005,트빌리시 국제영화제,일반(종합),봄 여름 가을 겨울 그리고 봄,김기덕,Horizons,,
2005,몬트리올 세계영화제,일반(종합),말아톤,정윤철,포커스 온 월드 시네마,,
2005,몬트리올 세계영화제,일반(종합),활,김기덕,아웃 오브 컴피티션,,
2005,광주 국제영화제,일반(종합),운수 좋은 날,이한종,한국단편경쟁,,
2005,에딘버러 국제영화제,일반(종합),하류인생,임권택,디렉터스 쇼케이스,,
2005,에딘버러 국제영화제,일반(종합),그때 그 사람들,임상수,디렉터스 쇼케이스,,
2005,에딘버러 국제영화제,일반(종합),달콤한 인생,김지운,디렉터스 쇼케이스,,
2005,판타지 필름페스트,판타지,썸,장윤현,포커스 아시아,,
2005,판타지 필름페스트,판타지,효자동 이발사,임찬상,포커스 아시아,,
2005,판타지 필름페스트,판타지,달콤한 인생,김지운,센터 피스,,
2005,로카르노 국제영화제,일반(종합),마법사들,송일곤,비디오 경쟁,,
2005,로카르노 국제영화제,일반(종합),,,비디오 경쟁,,
2005,정동진독립영화제,독립,가리베가스,김선민,섹션2,,
2005,멜버른 국제영화제,일반(종합),범죄의 재구성,최동훈,Regional Focus,,
2005,정동진독립영화제,독립,양성평등,조주상,섹션2,,
2005,정동진독립영화제,독립,돌고래... 안녕,권지혜,섹션2,,
2005,멜버른 국제영화제,일반(종합),거미숲,송일곤,Regional Focus,,
2005,정동진독립영화제,독립,남자다운 수다,홍덕표,섹션1,,
2005,멜버른 국제영화제,일반(종합),"여자, 정혜",이윤기,Regional Focus,,
2005,정동진독립영화제,독립,지우개 따먹기,민동현,특별 섹션,,
2005,정동진독립영화제,독립,희망2005-공무원노조동해시지부의이야기,최은정,섹션2,,
2005,멜버른 국제영화제,일반(종합),극장전,홍상수,Regional Focus,,
2005,정동진독립영화제,독립,배고픈 하루,김동현,특별 섹션,,
2005,정동진독립영화제,독립,산책,최지영,섹션1,,
2005,멜버른 국제영화제,일반(종합),주먹이 운다(Crying Fist),류승완,Regional Focus,,
2005,멜버른 국제영화제,일반(종합),가족,이정철,Regional Focus,,
2005,정동진독립영화제,독립,돌 속에 갇힌 말-구로구청 부정투표함 항의농성사건,나루,섹션4,,
2005,정동진독립영화제,독립,호랑이 푸로젝트,이지행,섹션3,,
2005,멜버른 국제영화제,일반(종합),그때 그 사람들,임상수,Regional Focus,,
2005,정동진독립영화제,독립,흡연모녀,유은정,섹션1,,
2005,정동진독립영화제,독립,베트남 처녀와 결혼하세요,이미랑,섹션3,,
2005,멜버른 국제영화제,일반(종합),하류인생,임권택,Regional Focus,,
2005,멜버른 국제영화제,일반(종합),빈집,김기덕,Regional Focus,,
2005,정동진독립영화제,독립,플레이테니스,류진호,섹션3,,
2005,멜버른 국제영화제,일반(종합),프락치,황철민,Regional Focus,,
2005,정동진독립영화제,독립,핵분열가족,"박재영,박수영",섹션1,,
2005,정동진독립영화제,독립,순간접착제,이석훈,특별 섹션,,
2005,정동진독립영화제,독립,종이비행기,권상준,섹션3,,
2005,멜버른 국제영화제,일반(종합),쓰리 몬스터,"미이케 다카시,박찬욱,프루트 챈",Regional Focus,,
2005,인디판다국제단편영화제,단편,동백꽃,"소준문,이송희일,최진성",.,,
2005,판타지아 국제영화제,판타지,귀신이 산다,김상진,한국영화전,,
2005,판타지아 국제영화제,판타지,거미숲,송일곤,한국영화전,,
2005,판타지아 국제영화제,판타지,썸,장윤현,한국영화전,,
2005,판타지아 국제영화제,판타지,쓰리 몬스터,"미이케 다카시,박찬욱,프루트 챈",한국영화전,,
2005,판타지아 국제영화제,판타지,하류인생,임권택,한국영화전,,
2005,판타지아 국제영화제,판타지,가문의 영광,정흥순,한국영화전,,
2005,판타지아 국제영화제,판타지,바람의 파이터,양윤호,한국영화전,,
2005,판타지아 국제영화제,판타지,주먹이 운다(Crying Fist),류승완,한국영화전,,
2005,판타지아 국제영화제,판타지,아라한 장풍대작전,류승완,한국영화전,,
2005,판타지아 국제영화제,판타지,영어완전정복,김성수,한국영화전,,
2005,판타지아 국제영화제,판타지,알포인트,공수창,한국영화전,,
2005,판타지아 국제영화제,판타지,돌려차기,남상국,한국영화전,,
2005,판타지아 국제영화제,판타지,실미도,강우석,한국영화전,,
2005,판타지아 국제영화제,판타지,조폭마누라3,조진규,한국영화전,,
2005,판타지아 국제영화제,판타지,공공의 적 2,강우석,한국영화전,,
2005,씨네팬 아시아 영화제,일반(종합),아라한 장풍대작전,류승완,파노라마 오브 마샬 아트,,
2005,씨네팬 아시아 영화제,일반(종합),그때 그 사람들,임상수,아시안 경쟁,,
2005,씨네팬 아시아 영화제,일반(종합),망종,장률,아시안 프레스코,,
2005,씨네팬 아시아 영화제,일반(종합),하류인생,임권택,특별 상영,,
2005,씨네팬 아시아 영화제,일반(종합),8월의 크리스마스,허진호,포르티시모 필름,,
